Time,Biomass,Energy storage,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Water Reservoir,Nuclear,Other,Waste,Renewable
2025-01-02 13:45:00,334.04,,,,2066.4,,110.92,,,,256.88,1907.59,49532.5,,330.39,16679.13
2025-01-02 14:00:00,334.6,,,,2084.59,,110.87,,,,164.04,1870.62,49495.07,,327.97,16380.11
2025-01-02 14:15:00,334.0,,,,2058.92,,110.9,,,,162.02,1924.42,49568.78,,331.62,16027.359999999999
2025-01-02 14:30:00,335.24,,,,2057.42,,110.66,,,,161.96,1727.89,49408.05,,329.15,15636.43
2025-01-02 14:45:00,333.63,,,,2064.01,,110.23,,,,123.33,1557.34,49270.31,,327.26,15056.39
2025-01-02 15:00:00,337.01,,,,2052.48,,110.24,,,,180.52,1859.05,49401.94,,326.72,14776.669999999998
2025-01-02 15:15:00,342.22,,,,2061.35,,110.53,,,,199.31,1809.32,49439.05,,330.52,14267.380000000001
2025-01-02 15:30:00,341.35,,,,2053.59,,110.51,,,,163.89,1731.03,49491.01,,329.23,13584.23
2025-01-02 15:45:00,334.96,,,,2086.16,,110.73,,,,207.91,1845.29,49497.18,,330.93,12952.56
2025-01-02 16:00:00,337.03,,,,2173.82,,110.32,,,,524.49,1991.21,49452.83,,329.31,12270.86
2025-01-02 16:15:00,340.98,,,,2448.46,,110.76,,,,566.3,1962.29,49539.16,,327.12,11533.02
2025-01-02 16:30:00,339.94,,,,2684.48,,110.36,,,,619.85,2386.16,49494.17,,328.08,10914.66
2025-01-02 16:45:00,334.51,,,,2850.63,,110.41,,,,920.52,2606.31,49469.98,,330.04,10241.14
2025-01-02 17:00:00,337.83,,,,3229.5,,110.71,,,,1154.8,2878.45,49500.3,,330.21,9800.380000000001
2025-01-02 17:15:00,338.64,,,,4117.36,,110.87,,,,1645.71,3106.02,49569.91,,329.32,9501.4
2025-01-02 17:30:00,338.86,,,,4660.08,,110.8,,,,1953.78,3341.08,49584.0,,326.92,9478.23
2025-01-02 17:45:00,350.05,,,,5092.69,,110.96,,,,2276.74,3624.28,49590.69,,325.18,9477.66
2025-01-02 18:00:00,351.5,,,,5526.69,,110.37,,,,2558.25,3650.36,49585.24,,330.36,9699.86
2025-01-02 18:15:00,360.37,,,,5668.97,,110.79,,,,3289.99,3591.43,49584.73,,333.01,9929.630000000001
2025-01-02 18:30:00,363.6,,,,5688.69,,110.44,,,,4201.0,3819.06,49706.7,,329.06,10126.05
2025-01-02 18:45:00,364.82,,,,5697.35,,110.81,,,,4256.02,3842.81,49743.21,,323.15,10450.68
2025-01-02 19:00:00,356.74,,,,5747.63,,110.12,,,,4018.54,3795.85,49743.95,,326.2,10489.96
2025-01-02 19:15:00,360.24,,,,5764.22,,110.17,,,,3752.25,3744.84,49755.75,,325.91,10723.97
2025-01-02 19:30:00,360.11,,,,5795.17,,110.12,,,,3134.78,3560.09,49756.3,,325.31,10826.24
2025-01-02 19:45:00,344.41,,,,5904.59,,110.4,,,,3017.25,3442.9,49763.85,,325.68,10980.34
2025-01-02 20:00:00,349.25,,,,5946.35,,109.82,,,,3512.61,3555.65,49786.34,,326.51,11106.83
2025-01-02 20:15:00,346.52,,,,6068.84,,110.49,,,,2925.77,3401.62,49798.91,,326.13,11170.06
2025-01-02 20:30:00,347.51,,,,6074.44,,110.13,,,,1768.17,3268.91,49803.1,,326.84,11270.47
2025-01-02 20:45:00,349.22,,,,6050.84,,110.76,,,,1497.49,3150.91,49808.78,,326.67,11346.64
2025-01-02 21:00:00,341.73,,,,6014.05,,110.11,,,,2168.31,3469.73,49813.59,,325.69,11212.210000000001
2025-01-02 21:15:00,333.62,,,,6064.67,,110.47,,,,1877.84,3007.34,49814.55,,322.07,11267.94
2025-01-02 21:30:00,333.14,,,,5933.36,,110.2,,,,1315.52,3023.68,49795.64,,320.21,11245.689999999999
2025-01-02 21:45:00,328.46,,,,5767.13,,110.0,,,,1199.44,2900.17,49770.86,,322.65,11204.3
2025-01-02 22:00:00,327.81,,,,5826.04,,110.38,,,,1082.8,2662.46,49785.46,,320.74,11008.01
2025-01-02 22:15:00,324.33,,,,5922.36,,110.42,,,,914.03,2486.46,49764.73,,323.53,10952.41
2025-01-02 22:30:00,327.0,,,,5993.5,,110.12,,,,809.76,2651.38,49767.79,,323.8,10920.83
2025-01-02 22:45:00,331.07,,,,5888.48,,110.42,,,,699.68,2662.51,49771.06,,325.1,10884.119999999999
2025-01-02 23:00:00,334.95,,,,5897.51,,110.48,,,,517.77,2535.07,49819.92,,324.73,10852.880000000001
2025-01-02 23:15:00,338.13,,,,5700.72,,110.33,,,,380.58,2365.61,49836.88,,328.62,10767.96
2025-01-02 23:30:00,339.83,,,,5625.43,,110.42,,,,413.22,2243.13,49844.31,,328.51,10650.349999999999
2025-01-02 23:45:00,344.01,,,,5189.33,,110.23,,,,407.97,2196.81,49849.07,,327.8,10535.720000000001
2025-01-03 00:00:00,376.23,,,,5216.16,,111.32,,,,901.93,3023.7,47636.85,,321.71,11840.599999999999
2025-01-03 00:15:00,375.14,,,,4335.16,,111.43,,,,1015.17,2991.73,47632.36,,322.6,11720.02
2025-01-03 00:30:00,375.2,,,,3588.66,,111.39,,,,1090.93,2612.54,47590.27,,321.18,11519.52
2025-01-03 00:45:00,374.95,,,,3114.84,,111.62,,,,993.73,2560.04,47578.84,,323.02,11334.84
2025-01-03 01:00:00,375.6,,,,3044.65,,111.09,,,,1134.55,2579.61,47583.0,,325.2,11167.92
2025-01-03 01:15:00,375.91,,,,2992.58,,111.56,,,,963.46,2512.02,47609.45,,317.3,11076.400000000001
2025-01-03 01:30:00,376.05,,,,2854.33,,111.77,,,,951.06,2548.92,47571.25,,309.45,11028.779999999999
2025-01-03 01:45:00,375.98,,,,2799.48,,111.98,,,,856.47,2439.3,47552.39,,308.98,11067.900000000001
2025-01-03 02:00:00,375.58,,,,2453.05,,111.97,,,,918.54,2555.63,47576.32,,308.44,11080.18
2025-01-03 02:15:00,376.28,,,,2163.35,,111.94,,,,922.7,2569.48,47585.03,,308.85,11046.64
2025-01-03 02:30:00,375.76,,,,1907.67,,111.77,,,,746.35,2379.56,47478.24,,309.15,11076.73
2025-01-03 02:45:00,373.39,,,,1846.45,,111.94,,,,548.33,2182.65,47481.38,,309.22,11116.57
2025-01-03 03:00:00,372.61,,,,1833.39,,111.24,,,,563.5,1900.77,47407.17,,309.5,10883.33
2025-01-03 03:15:00,374.7,,,,1870.17,,111.39,,,,503.65,1772.33,47381.7,,309.87,10821.22
2025-01-03 03:30:00,375.87,,,,1851.66,,111.89,,,,491.36,1468.05,47430.83,,309.74,10743.39
2025-01-03 03:45:00,376.04,,,,1830.25,,111.49,,,,492.1,1435.51,47461.03,,310.05,10689.310000000001
2025-01-03 04:00:00,375.3,,,,1855.92,,111.23,,,,496.34,1635.71,47516.03,,309.7,10633.77
2025-01-03 04:15:00,376.23,,,,1882.02,,111.37,,,,277.76,1682.98,47535.63,,309.26,10569.689999999999
2025-01-03 04:30:00,375.73,,,,1888.02,,111.98,,,,216.55,1551.0,47525.66,,309.27,10517.169999999998
2025-01-03 04:45:00,374.22,,,,1883.8,,111.81,,,,157.08,1482.33,47444.11,,308.94,10476.83
2025-01-03 05:00:00,374.53,,,,1883.85,,111.88,,,,218.06,1514.12,47509.04,,308.55,10600.26
