Price,Forecasted load,Load,Renewables,Hydro,Nuclear,Lignite,Hard coal,Natural gas,Fuel oil,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,dayofweek_1,dayofweek_2,dayofweek_3,dayofweek_4,dayofweek_5,dayofweek_6,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
92.11,61700.0,58079.0,13.772,9.543,46.551,,0.016,4.705,0.188,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
98.62,60450.0,57162.0,12.62,9.419,46.533,,0.016,4.761,0.188,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
99.5,58850.0,56459.0,11.602,9.509,46.514,,0.015,4.794,0.188,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
100.0,59800.0,58760.0,11.123,10.102,45.945,,0.011,4.441,0.188,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
102.57,63000.0,61750.0,11.739,11.208,45.343,,0.011,4.784,0.188,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
100.7,63900.0,62120.0,12.711,11.375,45.396,,0.012,4.832,0.187,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
92.65,61050.0,58945.0,13.158,11.312,45.577,,0.015,4.836,0.187,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
81.07,57600.0,56198.0,13.426,10.659,45.848,,0.015,4.806,0.187,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
78.43,56100.0,56465.0,13.334,9.481,46.042,,0.015,4.391,0.188,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
86.89,58050.0,56200.0,12.59,9.486,46.521,,0.015,4.513,0.189,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
86.08,54400.0,53666.0,12.132,9.522,46.727,,0.015,4.632,0.189,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
80.51,52050.0,51800.0,11.975,8.805,46.733,,0.015,3.775,0.187,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
77.01,51700.0,51003.0,11.588,8.339,46.854,,0.015,3.083,0.187,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
70.67,49200.0,48917.0,11.061,8.111,47.133,,0.015,2.731,0.187,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
61.1,48150.0,48163.0,10.784,7.994,45.766,,0.015,2.67,0.187,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
68.26,48650.0,50244.0,10.455,7.713,45.526,,0.015,2.806,0.187,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
75.0,52100.0,54104.0,9.95,7.826,45.895,,0.015,2.955,0.187,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
88.35,56200.0,57936.0,9.203,8.52,47.099,,0.015,3.16,0.187,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
90.88,59350.0,60997.0,8.74,9.51,47.306,,0.015,3.77,0.187,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
95.37,60650.0,62376.0,8.156,9.58,47.406,,0.015,4.663,0.187,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
96.37,61500.0,62854.0,8.281,9.31,47.394,,0.015,5.244,0.187,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
98.24,61800.0,63285.0,8.64,9.177,47.397,,0.015,5.064,0.187,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
