"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"11/01/2025 11:00:00 - 11/01/2025 12:00:00","BZN|SI","Without sequence","99.88","",""
"11/01/2025 12:00:00 - 11/01/2025 13:00:00","BZN|SI","Without sequence","96.87","",""
"11/01/2025 13:00:00 - 11/01/2025 14:00:00","BZN|SI","Without sequence","93.15","",""
"11/01/2025 14:00:00 - 11/01/2025 15:00:00","BZN|SI","Without sequence","98.28","",""
"11/01/2025 15:00:00 - 11/01/2025 16:00:00","BZN|SI","Without sequence","105.3","",""
"11/01/2025 16:00:00 - 11/01/2025 17:00:00","BZN|SI","Without sequence","125.0","",""
"11/01/2025 17:00:00 - 11/01/2025 18:00:00","BZN|SI","Without sequence","131.87","",""
"11/01/2025 18:00:00 - 11/01/2025 19:00:00","BZN|SI","Without sequence","131.4","",""
"11/01/2025 19:00:00 - 11/01/2025 20:00:00","BZN|SI","Without sequence","129.21","",""
"11/01/2025 20:00:00 - 11/01/2025 21:00:00","BZN|SI","Without sequence","121.89","",""
"11/01/2025 21:00:00 - 11/01/2025 22:00:00","BZN|SI","Without sequence","113.64","",""
"11/01/2025 22:00:00 - 11/01/2025 23:00:00","BZN|SI","Without sequence","108.24","",""
"11/01/2025 23:00:00 - 12/01/2025 00:00:00","BZN|SI","Without sequence","105.88","",""
"12/01/2025 00:00:00 - 12/01/2025 01:00:00","BZN|SI","Without sequence","96.9","",""
"12/01/2025 01:00:00 - 12/01/2025 02:00:00","BZN|SI","Without sequence","88.93","",""
"12/01/2025 02:00:00 - 12/01/2025 03:00:00","BZN|SI","Without sequence","89.04","",""
"12/01/2025 03:00:00 - 12/01/2025 04:00:00","BZN|SI","Without sequence","85.35","",""
"12/01/2025 04:00:00 - 12/01/2025 05:00:00","BZN|SI","Without sequence","85.0","",""
"12/01/2025 05:00:00 - 12/01/2025 06:00:00","BZN|SI","Without sequence","85.19","",""
"12/01/2025 06:00:00 - 12/01/2025 07:00:00","BZN|SI","Without sequence","87.81","",""
"12/01/2025 07:00:00 - 12/01/2025 08:00:00","BZN|SI","Without sequence","101.75","",""
"12/01/2025 08:00:00 - 12/01/2025 09:00:00","BZN|SI","Without sequence","116.5","",""
"12/01/2025 09:00:00 - 12/01/2025 10:00:00","BZN|SI","Without sequence","120.07","",""
"12/01/2025 10:00:00 - 12/01/2025 11:00:00","BZN|SI","Without sequence","117.77","",""
"12/01/2025 11:00:00 - 12/01/2025 12:00:00","BZN|SI","Without sequence","105.61","",""
"12/01/2025 12:00:00 - 12/01/2025 13:00:00","BZN|SI","Without sequence","102.99","",""
"12/01/2025 13:00:00 - 12/01/2025 14:00:00","BZN|SI","Without sequence","99.61","",""
"12/01/2025 14:00:00 - 12/01/2025 15:00:00","BZN|SI","Without sequence","105.6","",""
