"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"09/01/2024 03:00:00 - 09/01/2024 04:00:00","BZN|BE","Without Sequence","83.89","",""
"09/01/2024 04:00:00 - 09/01/2024 05:00:00","BZN|BE","Without Sequence","82.45","",""
"09/01/2024 05:00:00 - 09/01/2024 06:00:00","BZN|BE","Without Sequence","88.29","",""
"09/01/2024 06:00:00 - 09/01/2024 07:00:00","BZN|BE","Without Sequence","99.83","",""
"09/01/2024 07:00:00 - 09/01/2024 08:00:00","BZN|BE","Without Sequence","112.16","",""
"09/01/2024 08:00:00 - 09/01/2024 09:00:00","BZN|BE","Without Sequence","130.50","",""
"09/01/2024 09:00:00 - 09/01/2024 10:00:00","BZN|BE","Without Sequence","120.69","",""
"09/01/2024 10:00:00 - 09/01/2024 11:00:00","BZN|BE","Without Sequence","109.08","",""
"09/01/2024 11:00:00 - 09/01/2024 12:00:00","BZN|BE","Without Sequence","102.10","",""
"09/01/2024 12:00:00 - 09/01/2024 13:00:00","BZN|BE","Without Sequence","92.22","",""
"09/01/2024 13:00:00 - 09/01/2024 14:00:00","BZN|BE","Without Sequence","92.11","",""
"09/01/2024 14:00:00 - 09/01/2024 15:00:00","BZN|BE","Without Sequence","101.19","",""
"09/01/2024 15:00:00 - 09/01/2024 16:00:00","BZN|BE","Without Sequence","112.35","",""
"09/01/2024 16:00:00 - 09/01/2024 17:00:00","BZN|BE","Without Sequence","122.38","",""
"09/01/2024 17:00:00 - 09/01/2024 18:00:00","BZN|BE","Without Sequence","137.10","",""
"09/01/2024 18:00:00 - 09/01/2024 19:00:00","BZN|BE","Without Sequence","136.70","",""
"09/01/2024 19:00:00 - 09/01/2024 20:00:00","BZN|BE","Without Sequence","129.74","",""
"09/01/2024 20:00:00 - 09/01/2024 21:00:00","BZN|BE","Without Sequence","116.34","",""
"09/01/2024 21:00:00 - 09/01/2024 22:00:00","BZN|BE","Without Sequence","105.57","",""
"09/01/2024 22:00:00 - 09/01/2024 23:00:00","BZN|BE","Without Sequence","98.40","",""
"09/01/2024 23:00:00 - 10/01/2024 00:00:00","BZN|BE","Without Sequence","93.69","",""
"10/01/2024 00:00:00 - 10/01/2024 01:00:00","BZN|BE","Without Sequence","83.00","",""
"10/01/2024 01:00:00 - 10/01/2024 02:00:00","BZN|BE","Without Sequence","86.76","",""
"10/01/2024 02:00:00 - 10/01/2024 03:00:00","BZN|BE","Without Sequence","86.73","",""
"10/01/2024 03:00:00 - 10/01/2024 04:00:00","BZN|BE","Without Sequence","84.06","",""
"10/01/2024 04:00:00 - 10/01/2024 05:00:00","BZN|BE","Without Sequence","84.18","",""
"10/01/2024 05:00:00 - 10/01/2024 06:00:00","BZN|BE","Without Sequence","84.64","",""
"10/01/2024 06:00:00 - 10/01/2024 07:00:00","BZN|BE","Without Sequence","99.03","",""
"10/01/2024 07:00:00 - 10/01/2024 08:00:00","BZN|BE","Without Sequence","115.35","",""
"10/01/2024 08:00:00 - 10/01/2024 09:00:00","BZN|BE","Without Sequence","138.09","",""
"10/01/2024 09:00:00 - 10/01/2024 10:00:00","BZN|BE","Without Sequence","130.39","",""
"10/01/2024 10:00:00 - 10/01/2024 11:00:00","BZN|BE","Without Sequence","116.31","",""
"10/01/2024 11:00:00 - 10/01/2024 12:00:00","BZN|BE","Without Sequence","109.13","",""
"10/01/2024 12:00:00 - 10/01/2024 13:00:00","BZN|BE","Without Sequence","99.00","",""
"10/01/2024 13:00:00 - 10/01/2024 14:00:00","BZN|BE","Without Sequence","98.80","",""
"10/01/2024 14:00:00 - 10/01/2024 15:00:00","BZN|BE","Without Sequence","102.38","",""
"10/01/2024 15:00:00 - 10/01/2024 16:00:00","BZN|BE","Without Sequence","117.49","",""
"10/01/2024 16:00:00 - 10/01/2024 17:00:00","BZN|BE","Without Sequence","132.23","",""
"10/01/2024 17:00:00 - 10/01/2024 18:00:00","BZN|BE","Without Sequence","143.79","",""
"10/01/2024 18:00:00 - 10/01/2024 19:00:00","BZN|BE","Without Sequence","140.00","",""
"10/01/2024 19:00:00 - 10/01/2024 20:00:00","BZN|BE","Without Sequence","132.15","",""
"10/01/2024 20:00:00 - 10/01/2024 21:00:00","BZN|BE","Without Sequence","120.00","",""
"10/01/2024 21:00:00 - 10/01/2024 22:00:00","BZN|BE","Without Sequence","106.73","",""
"10/01/2024 22:00:00 - 10/01/2024 23:00:00","BZN|BE","Without Sequence","99.60","",""
"10/01/2024 23:00:00 - 11/01/2024 00:00:00","BZN|BE","Without Sequence","90.93","",""
"11/01/2024 00:00:00 - 11/01/2024 01:00:00","BZN|BE","Without Sequence","91.75","",""
"11/01/2024 01:00:00 - 11/01/2024 02:00:00","BZN|BE","Without Sequence","88.59","",""
"11/01/2024 02:00:00 - 11/01/2024 03:00:00","BZN|BE","Without Sequence","87.25","",""
"11/01/2024 03:00:00 - 11/01/2024 04:00:00","BZN|BE","Without Sequence","82.38","",""
"11/01/2024 04:00:00 - 11/01/2024 05:00:00","BZN|BE","Without Sequence","80.72","",""
"11/01/2024 05:00:00 - 11/01/2024 06:00:00","BZN|BE","Without Sequence","85.65","",""
"11/01/2024 06:00:00 - 11/01/2024 07:00:00","BZN|BE","Without Sequence","97.88","",""
"11/01/2024 07:00:00 - 11/01/2024 08:00:00","BZN|BE","Without Sequence","116.87","",""
"11/01/2024 08:00:00 - 11/01/2024 09:00:00","BZN|BE","Without Sequence","141.00","",""
"11/01/2024 09:00:00 - 11/01/2024 10:00:00","BZN|BE","Without Sequence","129.16","",""
"11/01/2024 10:00:00 - 11/01/2024 11:00:00","BZN|BE","Without Sequence","113.65","",""
"11/01/2024 11:00:00 - 11/01/2024 12:00:00","BZN|BE","Without Sequence","106.48","",""
"11/01/2024 12:00:00 - 11/01/2024 13:00:00","BZN|BE","Without Sequence","99.38","",""
"11/01/2024 13:00:00 - 11/01/2024 14:00:00","BZN|BE","Without Sequence","99.00","",""
"11/01/2024 14:00:00 - 11/01/2024 15:00:00","BZN|BE","Without Sequence","105.98","",""
"11/01/2024 15:00:00 - 11/01/2024 16:00:00","BZN|BE","Without Sequence","115.38","",""
"11/01/2024 16:00:00 - 11/01/2024 17:00:00","BZN|BE","Without Sequence","118.57","",""
"11/01/2024 17:00:00 - 11/01/2024 18:00:00","BZN|BE","Without Sequence","136.43","",""
"11/01/2024 18:00:00 - 11/01/2024 19:00:00","BZN|BE","Without Sequence","136.70","",""
"11/01/2024 19:00:00 - 11/01/2024 20:00:00","BZN|BE","Without Sequence","132.31","",""
"11/01/2024 20:00:00 - 11/01/2024 21:00:00","BZN|BE","Without Sequence","117.90","",""
"11/01/2024 21:00:00 - 11/01/2024 22:00:00","BZN|BE","Without Sequence","107.19","",""
"11/01/2024 22:00:00 - 11/01/2024 23:00:00","BZN|BE","Without Sequence","100.00","",""
"11/01/2024 23:00:00 - 12/01/2024 00:00:00","BZN|BE","Without Sequence","91.22","",""
"12/01/2024 00:00:00 - 12/01/2024 01:00:00","BZN|BE","Without Sequence","87.92","",""
"12/01/2024 01:00:00 - 12/01/2024 02:00:00","BZN|BE","Without Sequence","85.54","",""
"12/01/2024 02:00:00 - 12/01/2024 03:00:00","BZN|BE","Without Sequence","84.86","",""
"12/01/2024 03:00:00 - 12/01/2024 04:00:00","BZN|BE","Without Sequence","82.07","",""
"12/01/2024 04:00:00 - 12/01/2024 05:00:00","BZN|BE","Without Sequence","82.21","",""
"12/01/2024 05:00:00 - 12/01/2024 06:00:00","BZN|BE","Without Sequence","83.17","",""
"12/01/2024 06:00:00 - 12/01/2024 07:00:00","BZN|BE","Without Sequence","88.96","",""
"12/01/2024 07:00:00 - 12/01/2024 08:00:00","BZN|BE","Without Sequence","118.30","",""
"12/01/2024 08:00:00 - 12/01/2024 09:00:00","BZN|BE","Without Sequence","140.74","",""
"12/01/2024 09:00:00 - 12/01/2024 10:00:00","BZN|BE","Without Sequence","134.96","",""
