"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"02/01/2024 23:30 - 02/01/2024 23:45","BZN|BE","8540.34","8598.52"
"02/01/2024 23:45 - 03/01/2024 00:00","BZN|BE","8451.91","8454.08"
"03/01/2024 00:00 - 03/01/2024 00:15","BZN|BE","8467.57","8674.61"
"03/01/2024 00:15 - 03/01/2024 00:30","BZN|BE","8418.47","8519.03"
"03/01/2024 00:30 - 03/01/2024 00:45","BZN|BE","8301.88","8406.86"
"03/01/2024 00:45 - 03/01/2024 01:00","BZN|BE","8124.14","8271.25"
"03/01/2024 01:00 - 03/01/2024 01:15","BZN|BE","8031.15","8471.34"
"03/01/2024 01:15 - 03/01/2024 01:30","BZN|BE","7975.96","8332.47"
"03/01/2024 01:30 - 03/01/2024 01:45","BZN|BE","7857.95","8243.32"
"03/01/2024 01:45 - 03/01/2024 02:00","BZN|BE","7713.00","8147.04"
"03/01/2024 02:00 - 03/01/2024 02:15","BZN|BE","7615.05","8109.71"
"03/01/2024 02:15 - 03/01/2024 02:30","BZN|BE","7586.83","8031.65"
"03/01/2024 02:30 - 03/01/2024 02:45","BZN|BE","7558.50","7983.64"
"03/01/2024 02:45 - 03/01/2024 03:00","BZN|BE","7505.33","7924.83"
"03/01/2024 03:00 - 03/01/2024 03:15","BZN|BE","7579.62","7891.55"
"03/01/2024 03:15 - 03/01/2024 03:30","BZN|BE","7541.26","7866.36"
"03/01/2024 03:30 - 03/01/2024 03:45","BZN|BE","7437.65","7850.87"
"03/01/2024 03:45 - 03/01/2024 04:00","BZN|BE","7378.55","7841.86"
"03/01/2024 04:00 - 03/01/2024 04:15","BZN|BE","7478.88","7903.01"
"03/01/2024 04:15 - 03/01/2024 04:30","BZN|BE","7538.69","7930.26"
"03/01/2024 04:30 - 03/01/2024 04:45","BZN|BE","7596.35","7947.12"
"03/01/2024 04:45 - 03/01/2024 05:00","BZN|BE","7654.87","7991.98"
"03/01/2024 05:00 - 03/01/2024 05:15","BZN|BE","7829.20","8099.48"
"03/01/2024 05:15 - 03/01/2024 05:30","BZN|BE","7965.56","8184.87"
"03/01/2024 05:30 - 03/01/2024 05:45","BZN|BE","7994.94","8280.19"
"03/01/2024 05:45 - 03/01/2024 06:00","BZN|BE","8018.99","8421.93"
"03/01/2024 06:00 - 03/01/2024 06:15","BZN|BE","8424.09","8584.92"
"03/01/2024 06:15 - 03/01/2024 06:30","BZN|BE","8564.99","8786.55"
"03/01/2024 06:30 - 03/01/2024 06:45","BZN|BE","8646.65","8997.02"
"03/01/2024 06:45 - 03/01/2024 07:00","BZN|BE","8789.70","9202.04"
"03/01/2024 07:00 - 03/01/2024 07:15","BZN|BE","8930.96","9256.63"
"03/01/2024 07:15 - 03/01/2024 07:30","BZN|BE","9229.61","9438.92"
"03/01/2024 07:30 - 03/01/2024 07:45","BZN|BE","9513.88","9648.74"
"03/01/2024 07:45 - 03/01/2024 08:00","BZN|BE","9624.33","9810.25"
"03/01/2024 08:00 - 03/01/2024 08:15","BZN|BE","9862.89","10142.06"
"03/01/2024 08:15 - 03/01/2024 08:30","BZN|BE","10001.76","10255.11"
"03/01/2024 08:30 - 03/01/2024 08:45","BZN|BE","9992.06","10325.81"
"03/01/2024 08:45 - 03/01/2024 09:00","BZN|BE","10067.81","10386.45"
"03/01/2024 09:00 - 03/01/2024 09:15","BZN|BE","10102.87","10528.16"
"03/01/2024 09:15 - 03/01/2024 09:30","BZN|BE","10149.09","10607.24"
"03/01/2024 09:30 - 03/01/2024 09:45","BZN|BE","10294.54","10671.57"
"03/01/2024 09:45 - 03/01/2024 10:00","BZN|BE","10290.32","10685.52"
"03/01/2024 10:00 - 03/01/2024 10:15","BZN|BE","10349.76","10761.14"
"03/01/2024 10:15 - 03/01/2024 10:30","BZN|BE","10398.72","10780.33"
"03/01/2024 10:30 - 03/01/2024 10:45","BZN|BE","10414.80","10793.07"
"03/01/2024 10:45 - 03/01/2024 11:00","BZN|BE","10450.54","10789.61"
"03/01/2024 11:00 - 03/01/2024 11:15","BZN|BE","10548.17","10838.86"
