"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"09/01/2024 18:00 - 09/01/2024 19:00","BZN|FR","82077.00","79300.00"
"09/01/2024 19:00 - 09/01/2024 20:00","BZN|FR","82482.00","80700.00"
"09/01/2024 20:00 - 09/01/2024 21:00","BZN|FR","78945.00","77450.00"
"09/01/2024 21:00 - 09/01/2024 22:00","BZN|FR","75306.00","73450.00"
"09/01/2024 22:00 - 09/01/2024 23:00","BZN|FR","74965.00","71600.00"
"09/01/2024 23:00 - 10/01/2024 00:00","BZN|FR","74208.00","73850.00"
"10/01/2024 00:00 - 10/01/2024 01:00","BZN|FR","71665.00","73750.00"
"10/01/2024 01:00 - 10/01/2024 02:00","BZN|FR","70544.00","71600.00"
"10/01/2024 02:00 - 10/01/2024 03:00","BZN|FR","69886.00","71850.00"
"10/01/2024 03:00 - 10/01/2024 04:00","BZN|FR","67618.00","68950.00"
"10/01/2024 04:00 - 10/01/2024 05:00","BZN|FR","66634.00","67600.00"
"10/01/2024 05:00 - 10/01/2024 06:00","BZN|FR","68895.00","68750.00"
"10/01/2024 06:00 - 10/01/2024 07:00","BZN|FR","73655.00","73300.00"
"10/01/2024 07:00 - 10/01/2024 08:00","BZN|FR","78398.00","78600.00"
"10/01/2024 08:00 - 10/01/2024 09:00","BZN|FR","81460.00","82600.00"
"10/01/2024 09:00 - 10/01/2024 10:00","BZN|FR","82433.00","83800.00"
"10/01/2024 10:00 - 10/01/2024 11:00","BZN|FR","82420.00","84300.00"
"10/01/2024 11:00 - 10/01/2024 12:00","BZN|FR","82436.00","84150.00"
"10/01/2024 12:00 - 10/01/2024 13:00","BZN|FR","82800.00","84100.00"
"10/01/2024 13:00 - 10/01/2024 14:00","BZN|FR","80624.00","82000.00"
"10/01/2024 14:00 - 10/01/2024 15:00","BZN|FR","79902.00","81050.00"
"10/01/2024 15:00 - 10/01/2024 16:00","BZN|FR","78440.00","79950.00"
"10/01/2024 16:00 - 10/01/2024 17:00","BZN|FR","77311.00","78250.00"
"10/01/2024 17:00 - 10/01/2024 18:00","BZN|FR","79048.00","79150.00"
"10/01/2024 18:00 - 10/01/2024 19:00","BZN|FR","82582.00","83200.00"
"10/01/2024 19:00 - 10/01/2024 20:00","BZN|FR","82505.00","84450.00"
"10/01/2024 20:00 - 10/01/2024 21:00","BZN|FR","78339.00","81100.00"
"10/01/2024 21:00 - 10/01/2024 22:00","BZN|FR","74552.00","77350.00"
"10/01/2024 22:00 - 10/01/2024 23:00","BZN|FR","74231.00","75350.00"
"10/01/2024 23:00 - 11/01/2024 00:00","BZN|FR","73547.00","77100.00"
"11/01/2024 00:00 - 11/01/2024 01:00","BZN|FR","71308.00","72900.00"
"11/01/2024 01:00 - 11/01/2024 02:00","BZN|FR","70114.00","70850.00"
"11/01/2024 02:00 - 11/01/2024 03:00","BZN|FR","69627.00","70800.00"
"11/01/2024 03:00 - 11/01/2024 04:00","BZN|FR","67617.00","68000.00"
"11/01/2024 04:00 - 11/01/2024 05:00","BZN|FR","66669.00","66550.00"
"11/01/2024 05:00 - 11/01/2024 06:00","BZN|FR","68985.00","68150.00"
"11/01/2024 06:00 - 11/01/2024 07:00","BZN|FR","74093.00","72600.00"
"11/01/2024 07:00 - 11/01/2024 08:00","BZN|FR","78917.00","78450.00"
"11/01/2024 08:00 - 11/01/2024 09:00","BZN|FR","81054.00","82600.00"
"11/01/2024 09:00 - 11/01/2024 10:00","BZN|FR","81640.00","83350.00"
"11/01/2024 10:00 - 11/01/2024 11:00","BZN|FR","81183.00","82950.00"
"11/01/2024 11:00 - 11/01/2024 12:00","BZN|FR","80882.00","82550.00"
"11/01/2024 12:00 - 11/01/2024 13:00","BZN|FR","78897.00","82350.00"
"11/01/2024 13:00 - 11/01/2024 14:00","BZN|FR","75928.00","80500.00"
"11/01/2024 14:00 - 11/01/2024 15:00","BZN|FR","74500.00","80200.00"
"11/01/2024 15:00 - 11/01/2024 16:00","BZN|FR","73001.00","78000.00"
"11/01/2024 16:00 - 11/01/2024 17:00","BZN|FR","72312.00","75150.00"
"11/01/2024 17:00 - 11/01/2024 18:00","BZN|FR","75311.00","76650.00"
"11/01/2024 18:00 - 11/01/2024 19:00","BZN|FR","79400.00","81400.00"
"11/01/2024 19:00 - 11/01/2024 20:00","BZN|FR","79979.00","83500.00"
"11/01/2024 20:00 - 11/01/2024 21:00","BZN|FR","76711.00","80200.00"
"11/01/2024 21:00 - 11/01/2024 22:00","BZN|FR","73436.00","76550.00"
"11/01/2024 22:00 - 11/01/2024 23:00","BZN|FR","73598.00","74600.00"
"11/01/2024 23:00 - 12/01/2024 00:00","BZN|FR","73211.00","75750.00"
"12/01/2024 00:00 - 12/01/2024 01:00","BZN|FR","70877.00","71300.00"
"12/01/2024 01:00 - 12/01/2024 02:00","BZN|FR","69624.00","69250.00"
"12/01/2024 02:00 - 12/01/2024 03:00","BZN|FR","69038.00","69300.00"
"12/01/2024 03:00 - 12/01/2024 04:00","BZN|FR","66776.00","67150.00"
"12/01/2024 04:00 - 12/01/2024 05:00","BZN|FR","65786.00","66100.00"
"12/01/2024 05:00 - 12/01/2024 06:00","BZN|FR","68026.00","67150.00"
